sort,Standard_image,Standard.ID,Perched_Image,iNat_image,iNat.observation,DATE,year,data.type,Julian.date,image.julian.year,longitude,latitude,iNat.photo.quality.score,Std.photo.issue,iNat.photo.issues,iNat.AI.object.recognized,Site_code_revised,iNat.AI.proportion,iNat.manual.proportion,Standard.AI.hw.proportion,Standard.AI.fw.proportion,Standard.AI.tw.proportion,Standard.manual.hw.proportion,Standard.manual.fw.proportion,Standard.manual.tw.proportion,MAIN_BAS_3,MAIN_BAS_5,HYBAS_ID_5,HYBAS_ID_4,HYBAS_ID_3,ddRAD_hydro_ID_5,ddRAD_hydro_ID_4,ddRAD_hydro_ID_3,iNat.AI.datasource,iNat.manual.datasource,Standard.AI.datasource,Standard.manual.datasource,note,draft.estimate.prop.pigment,best.estimate.source,CLUSTER,iNat.AI.corrected,iNat.manual.corrected,Standard.AI.hw.corrected
3276,4027,NA,NA,NA,NA,16/08/2021,2021,N-N-N-Y,228,40272282021,-99.0800718,29.7232908,NA,NA,NA,NA,MEBA01,NA,NA,NA,NA,NA,0,0.396377143,NA,7030047840,7050048620,7050048620,7040048420,7030047840,TRUE,TRUE,TRUE,NA,NA,NA,ImageMeasurements2004-2021.xlsx,,0,Std.Manual,H,NA,NA,NA
3282,4062,NA,NA,NA,NA,17/08/2021,2021,N-N-N-Y,229,40622292021,-98.173605,29.10944167,NA,NA,NA,NA,05FL,NA,NA,NA,NA,NA,0,0.408133257,NA,7030047840,7050048620,7050048620,7040048420,7030047840,TRUE,TRUE,TRUE,NA,NA,NA,ImageMeasurements2004-2021.xlsx,,0,Std.Manual,H,NA,NA,NA
3292,4085,NA,NA,NA,NA,20/08/2021,2021,N-N-N-Y,232,40852322021,-82.630989,29.844436,NA,NA,NA,NA,ACSF02,NA,NA,NA,NA,NA,0,0.373863692,NA,7030042040,7050045480,7050045480,7040043170,7030042040,TRUE,TRUE,TRUE,NA,NA,NA,ImageMeasurements2004-2021.xlsx,,0,Std.Manual,E,NA,NA,NA
4225,NA,NA,NA,83786427,83786427,13/06/2021,2021,Y-N-N-N,164,NA1642021,-94.34407357,16.44707503,5,NA,N-N-N-N,TRUE,NA,0.002865088,NA,NA,NA,NA,NA,NA,NA,7030000010,7050002710,7050002710,7040000010,7030000010,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0,iNat.AI,B,0,NA,NA
6042,NA,NA,NA,17787032,17787032,04/08/2018,2018,Y-Y-N-N,216,NA2162018,-81.968375,42.54497,10,NA,N-N-N-N,TRUE,NA,0.16477215,0.087986629,NA,NA,NA,NA,NA,NA,7030034520,7050034520,7050494360,7040402430,7030034520,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0,iNat.Manual,F,0.17161092,0,NA
4392,NA,NA,NA,2391157,2391157,15/11/2015,2015,Y-Y-N-N,319,NA3192015,-77.507021,37.545717,8,NA,N-N-N-N,TRUE,NA,0.377170568,0.075278222,NA,NA,NA,NA,NA,NA,7030038340,7050041410,7050041410,7040041410,7030038340,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0,iNat.Manual,F,0.399413109,0,NA
5635,NA,NA,NA,141148035,141148035,02/11/2022,2022,Y-N-N-N,306,NA3062022,-98.37944667,26.185075,9,NA,N-N-N-N,TRUE,NA,0.009766933,NA,NA,NA,NA,NA,NA,NA,7030049270,7050049270,7050049270,7040049270,7030049270,FALSE,FALSE,FALSE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.00536426,iNat.AI,G,0.00536426,NA,NA
6096,NA,NA,NA,10613276,10613276,08/09/2013,2013,Y-Y-N-N,251,NA2512013,-81.967862,42.545366,10,NA,N-N-N-N,TRUE,NA,0.273082903,0.098873807,NA,NA,NA,NA,NA,NA,7030034520,7050034520,7050494360,7040402430,7030034520,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.006490709,iNat.Manual,F,0.287776694,0.006490709,NA
4394,NA,NA,NA,2400245,2400245,17/11/2015,2015,Y-Y-N-N,321,NA3212015,-77.515186,37.55026,8,NA,N-Y-N-N,TRUE,NA,0.855083114,0.101056149,NA,NA,NA,NA,NA,NA,7030038340,7050041410,7050041410,7040041410,7030038340,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.00899104,iNat.Manual,F,NA,0.00899104,NA
4397,NA,NA,NA,4743636,4743636,19/11/2016,2016,Y-Y-N-N,324,NA3242016,-77.51081944,37.54855834,7,NA,Y-N-N-N,TRUE,NA,0.140836913,0.102876534,NA,NA,NA,NA,NA,NA,7030038340,7050041410,7050041410,7040041410,7030038340,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.011076674,iNat.Manual,F,NA,0.011076674,NA
6108,NA,NA,NA,8632154,8632154,26/09/2007,2007,Y-Y-N-N,269,NA2692007,-81.66812034,42.68868871,9,NA,N-N-N-N,TRUE,NA,0.101533138,0.103782316,NA,NA,NA,NA,NA,NA,7030034520,7050034520,7050494360,7040402430,7030034520,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.012114437,iNat.Manual,F,0.103785626,0.012114437,NA
6066,NA,NA,NA,9378437,9378437,26/08/2017,2017,N-Y-N-N,238,NA2382017,-81.967964,42.54542,9,NA,N-Y-N-N,FALSE,NA,NA,0.105421036,NA,NA,NA,NA,NA,NA,7030034520,7050034520,7050494360,7040402430,7030034520,TRUE,TRUE,TRUE,All_data_iNat_standard.csv,All_data_iNat_standard.csv,NA,NA,,0.013991935,iNat.Manual,F,NA,0.013991935,NA
6191,NA,NA,NA,17250643,17250643,07/09/2018,2018,Y-Y-N-N,250,NA2502018,-81.83135167,39.27577,8,NA,N-N-N-N,TRUE,NA,0.149397136,0.113841546,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050568950,7040612640,7030047060,FALSE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.023639398,iNat.Manual,F,0.155120865,0.023639398,NA
6335,NA,NA,NA,8408735,8408735,14/10/2017,2017,Y-Y-N-N,287,NA2872017,-90.47275543,36.47761957,9,NA,N-N-N-N,TRUE,NA,0.267676563,0.11529809,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050682360,7040686540,7030047060,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.025308175,iNat.Manual,H,0.281978271,0.025308175,NA
6095,NA,NA,NA,10613274,10613274,08/09/2013,2013,Y-Y-N-N,251,NA2512013,-81.835442,42.778386,10,NA,N-Y-N-N,TRUE,NA,0.281515258,0.116403923,NA,NA,NA,NA,NA,NA,7030034520,7050034520,7050494360,7040402430,7030034520,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.026575139,iNat.Manual,F,NA,0.026575139,NA
6310,NA,NA,NA,10727561,10727561,03/09/2008,2008,Y-Y-N-N,247,NA2472008,-84.787546,39.198665,10,NA,N-N-N-N,TRUE,NA,0.179238798,0.117073453,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050594340,7040612640,7030047060,FALSE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.027342226,iNat.Manual,F,0.187126733,0.027342226,NA
4698,NA,NA,NA,102914654,102914654,11/12/2021,2021,Y-N-N-N,345,NA3452021,-90.97965635,30.47891746,7,NA,N-N-N-N,TRUE,NA,0.031403884,NA,NA,NA,NA,NA,NA,NA,7030046750,7050046750,7050046750,7040046750,7030046750,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.028570388,iNat.AI,H,0.028570388,NA,NA
6046,NA,NA,NA,7550301,7550301,18/08/2017,2017,Y-Y-N-N,230,NA2302017,-81.96740023,42.54689468,9,NA,N-N-N-N,TRUE,NA,0.230565911,0.119164884,NA,NA,NA,NA,NA,NA,7030034520,7050034520,7050494360,7040402430,7030034520,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.029738399,iNat.Manual,F,0.242176243,0.029738399,NA
4336,NA,NA,NA,94774438,94774438,12/09/2021,2021,Y-N-N-N,255,NA2552021,-78.8139314,37.6304889,7,NA,N-N-N-N,TRUE,NA,0.033455306,NA,NA,NA,NA,NA,NA,NA,7030038340,7050041410,7050041410,7040041410,7030038340,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.030770585,iNat.AI,F,0.030770585,NA,NA
4537,NA,NA,NA,110443661,110443661,04/04/2022,2022,Y-N-N-N,94,NA942022,-82.44489417,29.05734035,8,NA,N-N-N-N,TRUE,NA,0.03430565,NA,NA,NA,NA,NA,NA,NA,7030042040,7050043870,7050043870,7040043170,7030042040,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.031682598,iNat.AI,E,0.031682598,NA,NA
4134,NA,NA,NA,167981271,167981271,17/06/2023,2023,Y-N-N-N,168,NA1682023,-83.11021353,8.589310942,8,NA,N-N-N-N,TRUE,NA,0.034733053,NA,NA,NA,NA,NA,NA,NA,7030000010,7050000010,7050000010,7040000010,7030000010,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.032140999,iNat.AI,A,0.032140999,NA,NA
6071,NA,NA,NA,5204259,5204259,28/08/2015,2015,Y-Y-N-N,240,NA2402015,-81.96796417,42.54542089,7,NA,Y-N-N-N,TRUE,NA,0.187637795,0.121979002,NA,NA,NA,NA,NA,NA,7030034520,7050034520,7050494360,7040402430,7030034520,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.032962562,iNat.Manual,F,NA,0.032962562,NA
4374,NA,NA,NA,4726024,4726024,23/10/2016,2016,N-Y-N-N,297,NA2972016,-77.48691559,37.53014861,NA,NA,NA,NA,NA,NA,0.1241038,NA,NA,NA,NA,NA,NA,7030038340,7050041410,7050041410,7040041410,7030038340,TRUE,TRUE,TRUE,All_data_iNat_standard.csv,All_data_iNat_standard.csv,NA,NA,,0.035396965,iNat.Manual,F,NA,0.035396965,NA
6334,NA,NA,NA,8408733,8408733,14/10/2017,2017,Y-Y-N-N,287,NA2872017,-90.46262741,36.4786548,9,NA,N-N-N-N,TRUE,NA,0.244702044,0.1265427,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050682360,7040686540,7030047060,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.038191237,iNat.Manual,H,0.25733757,0.038191237,NA
4418,NA,NA,NA,179757406,179757406,17/08/2023,2023,Y-N-N-N,229,NA2292023,-81.02724667,33.93951833,7,NA,N-N-N-N,TRUE,NA,0.041242395,NA,NA,NA,NA,NA,NA,NA,7030042040,7050043160,7050043160,7040043160,7030042040,FALSE,FALSE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.039122417,iNat.AI,NA,0.039122417,NA,NA
4381,NA,NA,NA,17943822,17943822,29/10/2018,2018,Y-Y-N-N,302,NA3022018,-77.88665164,37.6650054,6,NA,N-N-N-N,TRUE,NA,0.357462762,0.128643482,NA,NA,NA,NA,NA,NA,7030038340,7050041410,7050041410,7040041410,7030038340,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.040598124,iNat.Manual,F,0.378276034,0.040598124,NA
4400,NA,NA,NA,129688550,129688550,01/08/2022,2022,Y-N-N-N,213,NA2132022,-80.43167289,36.21581438,9,NA,N-N-N-N,TRUE,NA,0.042938423,NA,NA,NA,NA,NA,NA,NA,7030042040,7050043090,7050043090,7040043090,7030042040,FALSE,FALSE,TRUE,perching_wing_2024-01-17.csv,NA,NA,NA,,0.040941446,iNat.AI,NA,0.040941446,NA,NA
4367,NA,NA,NA,4721085,4721085,19/10/2016,2016,Y-Y-N-N,293,NA2932016,-77.51828671,37.55121223,8,NA,N-Y-N-N,TRUE,NA,0.169946001,0.129042581,NA,NA,NA,NA,NA,NA,7030038340,7050041410,7050041410,7040041410,7030038340,TRUE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.041055375,iNat.Manual,F,NA,0.041055375,NA
6309,NA,NA,NA,16106662,16106662,01/09/2018,2018,Y-Y-N-N,244,NA2442018,-82.76650462,39.48983148,9,NA,N-N-N-N,TRUE,NA,0.114856429,0.129092323,NA,NA,NA,NA,NA,NA,7030047060,7050047060,7050594340,7040612640,7030047060,FALSE,TRUE,TRUE,perching_wing_2024-01-17.csv,All_data_iNat_standard.csv,NA,NA,,0.041112365,iNat.Manual,F,0.118075162,0.041112365,NA
