Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-419467.21691655595	-418911.48644410557	-555.7304724503651	0.1	0.2106984086652285	0.01
500	-369130.0112819245	-368726.2835084871	-403.72777343738403	13.488669507407623	0.43518382365019015	0.024259089331236543
1000	-367287.01011966023	-366898.69799095736	-388.3121287028799	12.132377210592376	0.4902136113423693	0.023855680668288227
1500	-364311.7419442312	-364010.7764023536	-300.9655418776022	6.732651259532397	0.8245728863714415	0.022867319652447336
2000	-364106.4463524083	-363834.81228194427	-271.6340704640455	6.524610922751741	0.9515521551129008	0.020699962654707364
2500	-363972.565374933	-363699.1008174926	-273.46455744039895	10.12869059627254	0.94587589933569	0.02070140735138349
3000	-363738.9176047088	-363455.6263616464	-283.2912430624041	9.64607223586107	0.9001016512623123	0.020180840739474726
3500	-363624.58141384565	-363346.07214387966	-278.5092699659604	6.7170778120485615	0.9195507409302603	0.01996062235736163
4000	-363604.0980128121	-363338.80320055375	-265.29481225831705	10.047775026787113	0.984335143501733	0.01942118527916279
4500	-363535.5527504428	-363280.2180928845	-255.3346575582871	9.980041395323104	1.0311448053968921	0.01846309855806384
5000	-363474.543983055	-363233.10245777614	-241.44152527884617	7.640400255255411	1.0871034374727193	0.018001953219127443
5500	-363467.97401594743	-363233.76570761186	-234.2083083355562	4.299668604514066	1.1286191195238013	0.017509698080224203
6000	-363459.4751209806	-363230.16223443794	-229.31288654261527	3.4933489801562385	1.1599732927913546	0.01709577506355603
6500	-363427.98637731397	-363204.2855598034	-223.70081751051703	5.9234750746279605	1.1705412979660428	0.01637635444244585
7000	-363425.4687910367	-363212.23565353535	-213.23313750136762	6.369736171997952	1.2224852216442208	0.01603230501088425
7500	-363400.03285859694	-363211.11544396507	-188.91741463186057	4.05599107093325	1.3524596652882046	0.014384050155703822
8000	-363386.32192279137	-363205.3808057175	-180.94111707384783	4.283713310161292	1.393001824592431	0.014151001329403617
8500	-363379.8617258191	-363200.16648264	-179.6952431790864	4.026943152515281	1.4009934176099712	0.013732730607155375
9000	-363371.74385481776	-363196.3312401546	-175.41261466314643	6.319036767339192	1.4223801079964347	0.013423570375734356
