species	sample
7050050000-10OT23	10OT23
7050050640-11CT25	11CT25
7050045480-ACSFa02	ACSFa02
7050736850-AR0207	AR0207
7050054670-BAMB06	BAMB06
7050050930-BZ3004	BZ3004
7050048620-CVa04	CVa04
7050822250-CYa04	CYa04
7050043870-HCICa02	HCICa02
7050005420-HtiCn2	HtiCn2
7050531210-IA0406	IA0406
7050511950-IL0121	IL0121
7050046750-LCPCa02	LCPCa02
7050047970-MC02.003	MC02.003
7050453940-MI0113	MI0113
7050494360-MI0238	MI0238
7050050650-MIXTa02	MIXTa02
7050682360-MO0351	MO0351
7050741770-MS0116	MS0116
7050736840-NPKBa05	NPKBa05
7050683900-OK0101	OK0101
7050047850-PCa01	PCa01
7050046600-PCCC1	PCCC1
7050000010-PSa03	PSa03
7050002710-PUMAa04	PUMAa04
7050041410-RCJRb04	RCJRb04
7050043860-SCSCa03	SCSCa03
7050047980-SJ01.21	SJ01.21
7050004220-STDMa04	STDMa04
7050668250-TN0103	TN0103
7050609780-TN0411	TN0411
7050849600-TXRSa02	TXRSa02
