species	sample
7050050000-10OT23	10OT23
7050050640-11CT25	11CT25
7050045480-ACSFa01	ACSFa01
7050736850-AR0210	AR0210
7050054670-BAMB03	BAMB03
7050050930-BZ2604	BZ2604
7050822250-CYa10	CYa10
7050041410-GCJRa01	GCJRa01
7050043870-HCARb01	HCARb01
7050005420-HtiCn13	HtiCn13
7050531210-IA0406	IA0406
7050511950-IL0135	IL0135
7050047970-MC02.002	MC02.002
7050048620-MEBA013928	MEBA013928
7050453940-MI0162	MI0162
7050494360-MI0239	MI0239
7050682360-MO0351	MO0351
7050741770-MS0116	MS0116
7050736840-NPKBa06	NPKBa06
7050047850-NR02.06	NR02.06
7050683900-OK0101	OK0101
7050050650-PAa02	PAa02
7050046600-PCCC1	PCCC1
7050043860-SCSCa03	SCSCa03
7050047980-SJ01.21	SJ01.21
7050000010-ST0102	ST0102
7050004220-STDMa04	STDMa04
7050668250-TN0101	TN0101
7050609780-TN0411	TN0411
7050002710-TULIa09	TULIa09
7050849600-TXRSa06	TXRSa06
7050046750-WCKCa01	WCKCa01
