species	sample
7040000010	HXRCb03
7040050650	CUAJa03
7040047850	NR02.10
7040054670	BALB05
7040612640	TN0421
7040686540	MO0312
7040392650	MI0125
7040569650	Il0411
7040047970	TT01.001
7040054660	LSSE05
7040050640	11CT05
7040050000	10OT10
7040050930	BZ5204
7040005420	05AR27
7040049990	TM01c2
7040046750	LCBC04
7040045900	EAFB014150
7040048420	CVa06
7040043170	ACSFc04
7040741760	NPKBa04
7040041410	RCJRa01
7040047980	SJ01.21
7040402430	MI0238
7040050920	TXRSa04
7040741770	MS0114
