"models" "AIC" "diff" "wi" "aicweights" "regimes" "co.evolve"
"7" "OU1 7" 59.552346617009 0 1 0.927187057329093 "r1" FALSE
"9" "OUM 9" 64.802265104345 5.24991848733597 0.0724427094732052 0.0671679426214075 "r2.HL" FALSE
"6" "BMM default 6" 71.3574470982239 11.8051004812149 0.0027324674760825 0.00253350847839639 "r1" FALSE
"8" "OUM 8" 72.4093415338138 12.8569949168048 0.00161487543001125 0.00149729159790518 "r2.Pac" FALSE
"2" "OU1 2" 73.1760205348505 13.6236739178415 0.00110066915773302 0.00102052619745137 "r1" TRUE
"1" "BMM default 1" 74.3035418812002 14.7511952641912 0.000626352258358134 0.00058074570727851 "r1" TRUE
"4" "OUM 4" 82.4606947571179 22.9083481401089 1.0605115593997e-05 9.83292592023291e-06 "r2.HL" TRUE
"10" "OUM 10" 84.7745335483902 25.2221869313812 3.33481462219414e-06 3.09199695629021e-06 "r3.HL.Pac" FALSE
"3" "OUM 3" 98.5556744931673 39.0033278761583 3.39261801403378e-09 3.14559151307365e-09 "r2.Pac" TRUE
"5" "OUM 5" 133.734070581148 74.1817239641392 7.7918989578091e-17 7.22454786569665e-17 "r3.HL.Pac" TRUE
