CLUSTER,treename,mean,se,time
all data,NA,0.965866,0.009410867,peak
A,7050000010-PSa03,0.5798103,0.008298494,peak
B,7050004220-HXRCb05,0.6907688,0.004547493,peak
C,7050054670-BAMB03,1.041037,0.01741409,peak
D,7050849600-TXRSa02,1.463699,0.01069592,peak
E,7050045480-ACSFa03,1.387387,0.02287975,peak
F,7050609780-TN0423,0.4649421,0.00940363,peak
G,7050822250-CYa04,1.161474,0.03017817,peak
H,7050046750-LCPCa02,1.12678,0.01425552,peak
all data,NA,0.5123993,0.005961779,trough
A,7050000010-PSa03,0.5500964,0.008722318,trough
B,7050004220-HXRCb05,0.4500721,0.02986918,trough
C,7050054670-BAMB03,0.6274318,0.01547208,trough
D,7050849600-TXRSa02,0.4341517,0.005516999,trough
E,7050045480-ACSFa03,0.552452,0.03250176,trough
F,7050609780-TN0423,0.3616871,0.02969185,trough
G,7050822250-CYa04,0.5936155,0.04897056,trough
H,7050046750-LCPCa02,0.5648756,0.01705847,trough
