"","CLUSTER","treename","mean","se","time"
"1","A","7050000010-NB0103","-0.660557892576196","0.0588077920950843","peak"
"2","A","7050000010-NB0103","-1.12160311298757","0.0342031377791023","trough"
"3","B","7050002710-ZANAa05","-0.315650231279279","0.0885159764528792","peak"
"4","B","7050002710-ZANAa05","-1.53182097799473","0.0555680946231786","trough"
"5","C","7050054670-BALB05","0.718853048035729","0.133869043250784","peak"
"6","C","7050054670-BALB05","-0.836520664097686","0.084153205754564","trough"
"7","D","7050849600-TXRSa04","2.67335447288631","0.1937236675454","peak"
"8","D","7050849600-TXRSa04","-1.60201630182546","0.0328333677363534","trough"
"9","E","7050045480-ACSFc04","1.13410785799893","0.152864057394805","peak"
"10","E","7050045480-ACSFc04","-1.16034426281707","0.119465552826034","trough"
"11","F","7050041410-RCJRa01","-1.83069957649544","0.0238753146520721","peak"
"12","F","7050041410-RCJRa01","-1.61939988136927","0.103232708581878","trough"
"13","G","7050822250-CYa04","0.970348980247629","0.137975706067739","peak"
"14","G","7050822250-CYa04","-0.915151420913333","0.151021697952298","trough"
"15","H","7050048620-CVa06","1.08620738526264","0.0589096636775054","peak"
"16","H","7050048620-CVa06","-1.10293772502831","0.0712937300948745","trough"
