species,hw.trans.peak,time
A,-2.670844123,peak
A,-2.363385689,peak
A,-1.875365069,peak
A,-1.829625457,peak
A,-1.675195955,peak
A,-1.561524751,peak
A,-1.53313869,peak
A,-1.499918001,peak
A,-1.482861113,peak
A,-1.442044647,peak
A,-1.406805714,peak
A,-1.406163888,peak
A,-1.390658524,peak
A,-1.373405319,peak
A,-1.369118583,peak
A,-1.364623555,peak
A,-1.345721216,peak
A,-1.334349452,peak
A,-1.315470022,peak
A,-1.292811053,peak
A,-1.291932392,peak
A,-1.289613684,peak
A,-1.26801019,peak
A,-1.267178342,peak
A,-1.218008145,peak
A,-1.210982286,peak
A,-1.202184709,peak
A,-1.196850376,peak
A,-1.188648453,peak
A,-1.182268796,peak
A,-1.179886842,peak
A,-1.177625535,peak
A,-1.175317175,peak
A,-1.155605475,peak
A,-1.155453891,peak
A,-1.148640116,peak
A,-1.148488478,peak
A,-1.145596971,peak
A,-1.139433779,peak
A,-1.137974322,peak
A,-1.13536897,peak
A,-1.130300549,peak
A,-1.129601626,peak
A,-1.087195144,peak
A,-1.081609207,peak
A,-1.081597303,peak
A,-1.070116719,peak
A,-1.06772522,peak
A,-1.06753702,peak
A,-1.063181,peak
A,-1.062760259,peak
A,-1.057216889,peak
A,-1.043556272,peak
A,-1.043169728,peak
A,-1.042815255,peak
A,-1.041267505,peak
A,-1.040293987,peak
A,-1.036472721,peak
A,-1.027336938,peak
A,-1.018439579,peak
A,-1.017938593,peak
A,-1.005842674,peak
A,-0.991524928,peak
A,-0.988984371,peak
A,-0.985298048,peak
A,-0.978725623,peak
A,-0.977478922,peak
A,-0.9759731,peak
A,-0.975833078,peak
A,-0.974953185,peak
A,-0.97131066,peak
A,-0.966003463,peak
A,-0.959684918,peak
A,-0.959153157,peak
A,-0.957569481,peak
A,-0.955833797,peak
A,-0.95411194,peak
A,-0.950756307,peak
A,-0.950075314,peak
A,-0.94971268,peak
A,-0.948603113,peak
A,-0.947697083,peak
A,-0.946822851,peak
A,-0.944851097,peak
A,-0.944792694,peak
A,-0.943304389,peak
A,-0.942534568,peak
A,-0.942074425,peak
A,-0.941936805,peak
A,-0.939981938,peak
A,-0.937328925,peak
A,-0.936744546,peak
A,-0.933614122,peak
A,-0.932127916,peak
A,-0.928361553,peak
A,-0.926819506,peak
A,-0.925550086,peak
A,-0.92543474,peak
A,-0.916750239,peak
A,-0.915664457,peak
A,-0.915054347,peak
A,-0.914103861,peak
A,-0.910332404,peak
A,-0.908854237,peak
A,-0.908280378,peak
A,-0.902557695,peak
A,-0.89899107,peak
A,-0.898979615,peak
A,-0.890660167,peak
A,-0.89005697,peak
A,-0.887075965,peak
A,-0.885481895,peak
A,-0.881389887,peak
A,-0.879394809,peak
A,-0.877190256,peak
A,-0.877139713,peak
A,-0.875257526,peak
A,-0.870952982,peak
A,-0.870943621,peak
A,-0.866518595,peak
A,-0.863710914,peak
A,-0.860151332,peak
A,-0.858961561,peak
A,-0.858744822,peak
A,-0.857665496,peak
A,-0.852685611,peak
A,-0.852393855,peak
A,-0.849647089,peak
A,-0.848401804,peak
A,-0.848167345,peak
A,-0.847125419,peak
A,-0.846985947,peak
A,-0.846871135,peak
A,-0.840060472,peak
A,-0.83748744,peak
A,-0.836459025,peak
A,-0.836109933,peak
A,-0.835238166,peak
A,-0.834803473,peak
A,-0.831407845,peak
A,-0.828957894,peak
A,-0.824746196,peak
A,-0.823310301,peak
A,-0.820062331,peak
A,-0.81870197,peak
A,-0.817474327,peak
A,-0.816831741,peak
A,-0.812810001,peak
A,-0.80753589,peak
A,-0.807044393,peak
A,-0.804394665,peak
A,-0.79911677,peak
A,-0.796821402,peak
A,-0.787318487,peak
A,-0.786192224,peak
A,-0.786013214,peak
A,-0.785833966,peak
A,-0.778989629,peak
A,-0.77463216,peak
A,-0.772920585,peak
A,-0.772397408,peak
A,-0.771149555,peak
A,-0.770904834,peak
A,-0.765797402,peak
A,-0.763778932,peak
A,-0.763581382,peak
A,-0.757151204,peak
A,-0.754871395,peak
A,-0.754509561,peak
A,-0.750555744,peak
A,-0.750065816,peak
A,-0.749728721,peak
A,-0.747958294,peak
A,-0.747890069,peak
A,-0.744531671,peak
A,-0.738553909,peak
A,-0.73462153,peak
A,-0.732189298,peak
A,-0.730367264,peak
A,-0.720878825,peak
A,-0.720200859,peak
A,-0.719416457,peak
A,-0.718659384,peak
A,-0.717484062,peak
A,-0.716618956,peak
A,-0.714726422,peak
A,-0.714653339,peak
A,-0.705567976,peak
A,-0.705273011,peak
A,-0.702895519,peak
A,-0.702046142,peak
A,-0.698623654,peak
A,-0.696760133,peak
A,-0.695085518,peak
A,-0.694317298,peak
A,-0.690562064,peak
A,-0.688675903,peak
A,-0.683509465,peak
A,-0.679733595,peak
A,-0.679660189,peak
A,-0.677159833,peak
A,-0.670699369,peak
A,-0.669019763,peak
A,-0.667869386,peak
A,-0.666645803,peak
A,-0.65847418,peak
A,-0.656042605,peak
A,-0.651623134,peak
A,-0.65044629,peak
A,-0.648069903,peak
A,-0.643242996,peak
A,-0.64225085,peak
A,-0.63763425,peak
A,-0.624067532,peak
A,-0.623150953,peak
A,-0.621271315,peak
A,-0.616023209,peak
A,-0.615079109,peak
A,-0.614042006,peak
A,-0.610694471,peak
A,-0.60996934,peak
A,-0.609126105,peak
A,-0.602695545,peak
A,-0.60141022,peak
A,-0.598632786,peak
A,-0.591676966,peak
A,-0.591615515,peak
A,-0.585206948,peak
A,-0.583928708,peak
A,-0.569888701,peak
A,-0.569697552,peak
A,-0.569370289,peak
A,-0.568595197,peak
A,-0.566806333,peak
A,-0.566225549,peak
A,-0.562258416,peak
A,-0.557461206,peak
A,-0.554541787,peak
A,-0.554384008,peak
A,-0.544917068,peak
A,-0.5437311,peak
A,-0.540168422,peak
A,-0.516793828,peak
A,-0.513375097,peak
A,-0.506728326,peak
A,-0.506581943,peak
A,-0.502665054,peak
A,-0.50212543,peak
A,-0.502046744,peak
A,-0.501803067,peak
A,-0.496796619,peak
A,-0.48953365,peak
A,-0.486099204,peak
A,-0.469222174,peak
A,-0.464797692,peak
A,-0.453021285,peak
A,-0.452728495,peak
A,-0.433720158,peak
A,-0.421631832,peak
A,-0.402024805,peak
A,-0.398571969,peak
A,-0.394168538,peak
A,-0.341192326,peak
A,-0.336242967,peak
A,-0.328858843,peak
A,-0.323451816,peak
A,-0.308452561,peak
A,-0.282133238,peak
A,-0.280766155,peak
A,-0.266584922,peak
A,-0.261455247,peak
A,-0.194560091,peak
A,-0.155672391,peak
A,-0.154974503,peak
A,-0.110865733,peak
A,-0.106092536,peak
A,-0.07131523,peak
A,-0.033100502,peak
A,-0.021798751,peak
A,0.004314311,peak
A,0.009567593,peak
A,0.081816056,peak
A,0.187476031,peak
A,0.414767404,peak
A,0.928252869,peak
A,-2.489512216,trough
A,-1.85769182,trough
A,-1.567074926,trough
A,-1.524528953,trough
A,-1.511523704,trough
A,-1.467640909,trough
A,-1.467062186,trough
A,-1.447944838,trough
A,-1.446633801,trough
A,-1.433443873,trough
A,-1.433437396,trough
A,-1.417922421,trough
A,-1.412089675,trough
A,-1.393743656,trough
A,-1.388075988,trough
A,-1.381667116,trough
A,-1.381253971,trough
A,-1.378146985,trough
A,-1.369488287,trough
A,-1.363445857,trough
A,-1.359003355,trough
A,-1.343895024,trough
A,-1.33818347,trough
A,-1.335519832,trough
A,-1.330817992,trough
A,-1.318293474,trough
A,-1.308031475,trough
A,-1.302053001,trough
A,-1.292315283,trough
A,-1.286443687,trough
A,-1.281319936,trough
A,-1.27822982,trough
A,-1.27803562,trough
A,-1.275696892,trough
A,-1.272679406,trough
A,-1.263731763,trough
A,-1.255517237,trough
A,-1.255005492,trough
A,-1.248760373,trough
A,-1.24640011,trough
A,-1.245766098,trough
A,-1.242560639,trough
A,-1.238800558,trough
A,-1.237877073,trough
A,-1.237515339,trough
A,-1.234198723,trough
A,-1.22710945,trough
A,-1.213432711,trough
A,-1.212509647,trough
A,-1.202064624,trough
A,-1.202049036,trough
A,-1.199504814,trough
A,-1.19770336,trough
A,-1.194316148,trough
A,-1.188065763,trough
A,-1.187726109,trough
A,-1.187537082,trough
A,-1.182033186,trough
A,-1.176403004,trough
A,-1.171428047,trough
A,-1.167980519,trough
A,-1.167735114,trough
A,-1.164722592,trough
A,-1.160851801,trough
A,-1.153757795,trough
A,-1.1518227,trough
A,-1.143716389,trough
A,-1.13445338,trough
A,-1.132446856,trough
A,-1.12922384,trough
A,-1.11525211,trough
A,-1.099563117,trough
A,-1.093711219,trough
A,-1.09333187,trough
A,-1.091481797,trough
A,-1.085396697,trough
A,-1.080749605,trough
A,-1.079671338,trough
A,-1.073599709,trough
A,-1.070499604,trough
A,-1.067444764,trough
A,-1.063159114,trough
A,-1.055496618,trough
A,-1.048594972,trough
A,-1.04779923,trough
A,-1.023963136,trough
A,-1.018195553,trough
A,-1.015012776,trough
A,-1.004611684,trough
A,-1.004577519,trough
A,-0.986531811,trough
A,-0.9720531,trough
A,-0.967078916,trough
A,-0.949031325,trough
A,-0.933614122,trough
A,-0.921818899,trough
A,-0.856034684,trough
A,-0.8503609,trough
A,-0.83666418,trough
A,-0.817909854,trough
A,-0.800032256,trough
A,-0.790858889,trough
A,-0.777881703,trough
A,-0.734081939,trough
A,-0.713708413,trough
A,-0.685055199,trough
A,-0.63763425,trough
A,-0.51773452,trough
A,-0.46325133,trough
A,-0.427689389,trough
A,-0.397042325,trough
A,-0.394168538,trough
A,-0.356000239,trough
A,-0.200439264,trough
A,-0.178803555,trough
A,-0.14732895,trough
A,-0.110865733,trough
A,-0.07131523,trough
A,0.009567593,trough
A,0.053408908,trough
A,0.127069736,trough
A,0.438220479,trough
A,0.728688564,trough
B,-1.887778736,peak
B,-1.500105563,peak
B,-1.384993594,peak
B,-1.361819137,peak
