"","species","hw.raw","hw.logit","time"
"1","A","0.244765644663764","-1.18159437395381","peak"
"2","A","0.307851677377856","-0.857549031816344","peak"
"3","A","0.297625702260782","-0.906943482415373","peak"
"4","A","0.345522701010355","-0.683311097683129","peak"
"5","A","0.27010816511198","-1.04540644227943","peak"
"6","A","0.389465563","-0.49181725226068","peak"
"7","A","0.375054321","-0.553493283184895","peak"
"8","A","0.410526229","-0.403272967050196","peak"
"9","A","0.360436368","-0.617121658427793","peak"
"10","A","0.283724804","-0.975805764139654","peak"
"11","A","0.377542836","-0.542772621002598","peak"
"12","A","0.386843819","-0.502966350779707","peak"
"13","A","0.178890714","-1.59350945461593","peak"
"14","A","0.364327109","-0.600072491659806","peak"
"15","A","0.245084903026617","-1.179818104949","peak"
"16","A","0.246178320394318","-1.17374724366748","peak"
"17","A","0.276481062706735","-1.01255023314454","peak"
"18","A","0.44783220643588","-0.249964623743166","peak"
"19","A","0.453308713705373","-0.22774444463101","peak"
"20","A","0.564666268378852","0.219542654858866","peak"
"21","A","0.412300293383772","-0.395889656753899","peak"
"22","A","0.405","-0.42634269312972","trough"
"23","A","0.396","-0.464157558682312","trough"
"24","A","0.339","-0.71271138620631","trough"
"25","A","0.278","-1.00479353345045","trough"
"26","A","0.383","-0.519368120989105","trough"
"27","A","0.235","-1.23676262714893","trough"
"28","A","0.289","-0.949427355463584","trough"
"29","A","0.218","-1.33702331211311","trough"
"30","A","0.214","-1.36147919200017","trough"
"31","A","0.254","-1.13087315088633","trough"
"32","A","0.241","-1.20267325898385","trough"
"33","A","0.265","-1.07212067322113","trough"
"34","A","0.233","-1.24826857890753","trough"
"35","A","0.23","-1.26566637333128","trough"
"36","A","0.214","-1.36147919200017","trough"
"37","A","0.223","-1.30693608270798","trough"
"38","A","0.257","-1.11467689117192","trough"
"39","A","0.234","-1.24250646832818","trough"
"40","A","0.201","-1.44352548901186","trough"
"41","A","0.261","-1.09328604438544","trough"
"42","A","0.244","-1.18586105438289","trough"
"43","A","0.249","-1.15816980593018","trough"
"44","A","0.211","-1.3800560377072","trough"
"45","A","0.261","-1.09328604438544","trough"
"46","A","0.218","-1.33702331211311","trough"
"47","A","0.244","-1.18586105438289","trough"
"48","A","0.237","-1.22532903110602","trough"
"49","A","0.232","-1.25404914230611","trough"
"50","A","0.213","-1.36764869974843","trough"
"51","A","0.229","-1.27150342002319","trough"
"52","A","0.189","-1.52313730361167","trough"
"53","A","0.235447396","-1.2341987229313","trough"
"54","A","0.249803376","-1.15375779471571","trough"
"55","A","0.267782576572067","-1.05752572056897","trough"
"56","A","0.261305853723896","-1.09165981264254","trough"
"57","A","0.255185568057065","-1.12445658904522","trough"
"58","A","0.200100712298872","-1.44935590730795","trough"
"59","A","0.151408214222099","-1.80364274488023","trough"
"60","A","0.212224858154142","-1.37244654312981","trough"
"61","A","0.222285965277069","-1.31120086534616","trough"
"62","A","0.277985633826685","-1.00486676573881","trough"
"63","A","0.166262530772003","-1.68630390844939","trough"
"64","A","0.18359257829634","-1.56037684896628","trough"
"65","A","0.217020603350791","-1.34297891836259","trough"
"66","A","0.194002556498394","-1.48946157047001","trough"
"67","A","0.523782877027529","0.0551454787545291","trough"
"68","A","0.210554902019894","-1.38282982467331","trough"
"69","A","0.464737075662466","-0.181548712067324","trough"
"70","A","0.329440399596649","-0.756344687826031","trough"
"71","A","0.265083780428259","-1.0716797132086","trough"
"72","A","0.421962883903874","-0.3558568108395","trough"
"73","A","0.503651618864948","-0.0253948892167142","trough"
"74","A","0.435875668371486","-0.298698533100988","trough"
"75","A","0.275379034","-1.01819555264235","trough"
"76","A","0.254968588","-1.12562936360163","trough"
"77","A","0.246633124","-1.17122780752762","trough"
"78","A","0.248725625","-1.15967895830789","trough"
"79","A","0.271233869","-1.03956534809676","trough"
"80","A","0.241340597","-1.2007568919386","trough"
"81","A","0.239679453","-1.21012206879067","trough"
"82","A","0.199229866","-1.45502208039219","trough"
"83","A","0.259257279","-1.10257739915238","trough"
"84","A","0.267237802","-1.06037498028083","trough"
"85","A","0.224827253","-1.29606952269491","trough"
"86","A","0.238876285","-1.21466720373465","trough"
"87","A","0.240517334","-1.20539236536487","trough"
"88","A","0.210942775","-1.38041239794622","trough"
"89","A","0.252668754","-1.13810337386723","trough"
"90","A","0.273996203","-1.02530055721583","trough"
"91","A","0.238216683","-1.2184082914868","trough"
"92","A","0.23916212","-1.21304837840365","trough"
"93","A","0.233301717","-1.24652811676453","trough"
"94","A","0.20733351","-1.40304405617514","trough"
"95","A","0.235031093","-1.2365843247805","trough"
"96","A","0.339812876","-0.709031511736257","trough"
"97","A","0.255929722","-1.12043975837062","trough"
"98","A","0.404313078","-0.429218014234429","trough"
"99","A","0.352732203","-0.651142148268448","trough"
"100","A","0.283618935","-0.976338369816994","trough"
"101","A","0.248146318","-1.16286925259271","trough"
"102","A","0.247884056","-1.1643153062854","trough"
"103","A","0.234235447","-1.24115246055031","trough"
"104","A","0.254580657","-1.12772787625657","trough"
"105","A","0.316219834","-0.817851890854947","trough"
"106","A","0.3057019","-0.867849851764715","trough"
"107","A","0.280344997","-0.992872913786424","trough"
"108","A","0.253557569","-1.13327309361487","trough"
"109","A","0.230963988","-1.26005753528664","trough"
"110","A","0.166804210933828","-1.68220122078186","trough"
"111","A","0.174378183233222","-1.62600637002303","trough"
"112","A","0.188654432087384","-1.52549053893668","trough"
"113","A","0.189629833086173","-1.51885741089197","trough"
"114","A","0.203678779263639","-1.42628119024763","trough"
"115","A","0.212424445782865","-1.37120985932217","trough"
"116","A","0.264283689207485","-1.07589471703151","trough"
"117","A","0.31185904701371","-0.838460844072312","trough"
"118","A","0.235045460795271","-1.2365019387677","trough"
"119","A","0.313456550531392","-0.83089173495183","trough"
"120","A","0.287555428140019","-0.956620045608845","trough"
"121","B","0.329706054099904","-0.755122985447463","peak"
"122","B","0.738510846846636","0.987080327789947","peak"
"123","B","0.307683898966477","-0.85835140725235","peak"
"124","B","0.599633676705799","0.362451224890725","peak"
"125","B","0.184383796478904","-1.55487142383218","peak"
"126","B","0.178176151827476","-1.59860874458889","trough"
"127","B","0.199602104005168","-1.45259766984294","trough"
"128","B","0.190190396926271","-1.51505806936716","trough"
"129","B","0.175262423743901","-1.61958273810974","trough"
"130","B","0.135655001299463","-1.93993496650794","trough"
"131","B","0.304426797010429","-0.873980121182591","trough"
"132","B","0.133307822240678","-1.96147208730876","trough"
"133","B","0.128606779775145","-2.00569021034414","trough"
"134","B","0.13592935432585","-1.93744013292161","trough"
"135","B","0.15258826216489","-1.79395705252101","trough"
"136","B","0.140089993743772","-1.90016329469151","trough"
"137","B","0.166354462108933","-1.68560680484943","trough"
"138","B","0.195917094298172","-1.47676136580623","trough"
"139","B","0.199782733066469","-1.45142253480378","trough"
"140","B","0.279766229981917","-0.995808946697917","trough"
"141","B","0.320161044981698","-0.799366509298656","trough"
"142","B","0.169077065291649","-1.66511124830289","trough"
"143","B","0.26688208451932","-1.06223756947676","trough"
"144","B","0.25982107859881","-1.09956676391497","trough"
"145","B","0.169680483594839","-1.66060735510194","trough"
"146","B","0.166741891993936","-1.6826726366234","trough"
"147","B","0.166461859374858","-1.68479284785201","trough"
"148","B","0.169998786596773","-1.65823710492907","trough"
"149","B","0.179886984810329","-1.58642843365787","trough"
"150","B","0.18018656622134","-1.58430561328937","trough"
"151","B","0.182696526475218","-1.56663571292083","trough"
"152","B","0.202100152253781","-1.43642123767958","trough"
"153","B","0.236092136984299","-1.23051022451025","trough"
"154","B","0.190367979153874","-1.51385639174527","trough"
"155","B","0.184749074505077","-1.55233640721325","trough"
"156","B","0.148456232476933","-1.82817159384629","trough"
"157","B","0.241665812982498","-1.19892890592545","trough"
"158","C","0.913393864083595","2.23551637316671","peak"
"159","C","0.800093984662052","1.3254920217825","peak"
"160","C","0.8141913127428","1.41269909491923","peak"
"161","C","0.415774040989577","-0.38146319401852","peak"
"162","C","0.953288518445509","2.81139550710654","peak"
"163","C","0.915580167971083","2.26082467174514","peak"
"164","C","0.954692983268856","2.83796020396735","peak"
"165","C","0.871975356864551","1.8317944392707","peak"
"166","C","0.80280202377435","1.34189879261778","peak"
"167","C","0.689935652017776","0.753476101284034","peak"
"168","C","0.499850258959786","-0.0406045420644949","peak"
"169","C","0.933633599705296","2.49277264316517","peak"
"170","C","0.829387207611074","1.51220128190059","peak"
"171","C","0.945639254600609","2.67672608666047","peak"
"172","C","0.647905519076896","0.56628500836021","peak"
"173","C","0.642009771251873","0.540848469367371","peak"
"174","C","0.683442312998891","0.723795723504325","peak"
"175","C","0.780518721122288","1.21124249917761","peak"
"176","C","0.69099973128093","0.758369966390598","peak"
"177","C","0.74604828562127","1.02552953570313","peak"
"178","C","0.765289711209691","1.1270263829898","peak"
"179","C","0.85990961351475","1.73389231760048","peak"
"180","C","0.660130213755248","0.619611625721805","peak"
"181","C","0.852064625926754","1.67367083967849","peak"
"182","C","0.844611474154261","1.61866890812167","peak"
"183","C","0.799027134572576","1.3190711860114","peak"
"184","C","0.804634404933845","1.35309035952265","peak"
"185","C","0.756326359626839","1.07911442349879","peak"
"186","C","0.692043969362714","0.763181022187601","peak"
"187","C","0.889203626216826","1.9849102608324","peak"
"188","C","0.784164801168561","1.23197924777175","peak"
"189","C","0.668970064683963","0.658707847823957","peak"
"190","C","0.822195069991916","1.46433672748646","peak"
"191","C","0.82519339500634","1.48411547970072","peak"
"192","C","0.603059628463831","0.376628280417213","peak"
"193","C","0.81145403890306","1.39540701117834","peak"
"194","C","0.764693400472735","1.12380271987724","peak"
"195","C","0.948154544717452","2.71927607879057","peak"
"196","C","0.755557143420054","1.07505550372369","peak"
"197","C","0.950586526785589","2.7619826229047","peak"
"198","C","0.826067743110768","1.48992984929851","peak"
"199","C","0.776099237532792","1.18641478087944","peak"
"200","C","0.652351865105109","0.585586590386975","peak"
"201","C","0.941098359","2.60368492559914","peak"
"202","C","0.857145458","1.7123856497809","peak"
"203","C","0.975720294","3.33832072429658","peak"
"204","C","0.831110981","1.52389267017742","peak"
"205","C","0.726299159","0.926177593321222","peak"
"206","C","0.787817142","1.25299073304849","peak"
"207","C","0.829943965","1.51596789455723","peak"
"208","C","0.820345181","1.45225462849553","peak"
"209","C","0.63238957","0.499703159299783","peak"
