species,hw.trans.peak,time
A,-1.057525721,peak
A,-1.181594374,peak
A,-0.857549032,peak
A,-0.906943482,peak
A,-0.683311098,peak
A,-1.045406442,peak
A,0.39644834,peak
A,-0.911712673,peak
A,0.075361539,peak
A,-0.658604181,peak
A,-1.382829825,peak
A,-0.181548712,peak
A,-0.756344688,peak
A,-1.071679713,peak
A,-0.355856811,peak
A,-0.025394889,peak
A,-0.298698533,peak
A,-0.327301567,peak
A,-0.690310341,peak
A,-1.031148645,peak
A,-0.320971086,peak
A,-0.840068359,peak
A,-0.645541865,peak
A,-0.373610916,peak
A,-0.551801243,peak
A,-0.40197897,peak
A,-0.846983137,peak
A,-0.443204872,peak
A,-0.491817252,peak
A,-0.553493283,peak
A,-0.403272967,peak
A,-0.617121658,peak
A,-0.975805764,peak
A,-0.542772621,peak
A,-0.502966351,peak
A,-1.593509455,peak
A,-0.600072492,peak
A,-1.455232559,peak
A,-1.179818105,peak
A,-1.173747244,peak
A,-1.075894717,peak
A,-1.012550233,peak
A,-0.838460844,peak
A,-0.676071518,peak
A,-0.249964624,peak
A,-0.227744445,peak
A,0.219542655,peak
A,-0.395889657,peak
A,-0.474228466,peak
A,-0.830891735,peak
A,-0.426342693,trough
A,-0.464157559,trough
A,-0.712711386,trough
A,-1.004793533,trough
A,-0.519368121,trough
A,-1.236762627,trough
A,-0.949427355,trough
A,-1.337023312,trough
A,-1.361479192,trough
A,-1.130873151,trough
A,-1.202673259,trough
A,-1.072120673,trough
A,-1.248268579,trough
A,-1.265666373,trough
A,-1.361479192,trough
A,-1.306936083,trough
A,-1.114676891,trough
A,-1.242506468,trough
A,-1.443525489,trough
A,-1.093286044,trough
A,-1.185861054,trough
A,-1.158169806,trough
A,-1.380056038,trough
A,-1.093286044,trough
A,-1.337023312,trough
A,-1.185861054,trough
A,-1.225329031,trough
A,-1.254049142,trough
A,-1.3676487,trough
A,-1.27150342,trough
A,-1.523137304,trough
A,-1.234198723,trough
A,-1.153757795,trough
A,-1.057525721,trough
A,-1.091659813,trough
A,-1.124456589,trough
A,-1.449355907,trough
A,-1.803642745,trough
A,-1.372446543,trough
A,-1.311200865,trough
A,-1.004866766,trough
A,-1.686303908,trough
A,-1.560376849,trough
A,-1.342978918,trough
A,-1.48946157,trough
A,0.055145479,trough
A,-1.382829825,trough
A,-0.181548712,trough
A,-0.756344688,trough
A,-1.071679713,trough
A,-0.355856811,trough
A,-0.025394889,trough
A,-0.298698533,trough
A,-1.018195553,trough
