species,hw.raw,hw.logit,time
A,0.267782577,-1.057525721,peak
A,0.345522701,-0.683311098,peak
A,0.270108165,-1.045406442,peak
A,0.607834037,0.39644834,peak
A,0.296649499,-0.911712673,peak
A,0.528831473,0.075361539,peak
A,0.351053233,-0.658604181,peak
A,0.210554902,-1.382829825,peak
A,0.464737076,-0.181548712,peak
A,0.3294404,-0.756344688,peak
A,0.26508378,-1.071679713,peak
A,0.421962884,-0.355856811,peak
A,0.503651619,-0.025394889,peak
A,0.435875668,-0.298698533,peak
A,0.199197576,-1.455232559,peak
A,0.264283689,-1.075894717,peak
A,0.311859047,-0.838460844,peak
A,0.347138662,-0.676071518,peak
A,0.447832206,-0.249964624,peak
A,0.412300293,-0.395889657,peak
A,0.393615912,-0.474228466,peak
A,0.313456551,-0.830891735,peak
A,0.405,-0.426342693,trough
A,0.396,-0.464157559,trough
A,0.339,-0.712711386,trough
A,0.278,-1.004793533,trough
A,0.383,-0.519368121,trough
A,0.235,-1.236762627,trough
A,0.289,-0.949427355,trough
A,0.218,-1.337023312,trough
A,0.214,-1.361479192,trough
A,0.254,-1.130873151,trough
A,0.241,-1.202673259,trough
A,0.265,-1.072120673,trough
A,0.233,-1.248268579,trough
A,0.23,-1.265666373,trough
A,0.214,-1.361479192,trough
A,0.223,-1.306936083,trough
A,0.257,-1.114676891,trough
A,0.234,-1.242506468,trough
A,0.201,-1.443525489,trough
A,0.261,-1.093286044,trough
A,0.244,-1.185861054,trough
A,0.249,-1.158169806,trough
A,0.211,-1.380056038,trough
A,0.261,-1.093286044,trough
A,0.218,-1.337023312,trough
A,0.244,-1.185861054,trough
A,0.237,-1.225329031,trough
A,0.232,-1.254049142,trough
A,0.213,-1.3676487,trough
A,0.229,-1.27150342,trough
A,0.189,-1.523137304,trough
A,0.235447396,-1.234198723,trough
A,0.249803376,-1.153757795,trough
A,0.267782577,-1.057525721,trough
A,0.261305854,-1.091659813,trough
A,0.255185568,-1.124456589,trough
A,0.200100712,-1.449355907,trough
A,0.151408214,-1.803642745,trough
A,0.212224858,-1.372446543,trough
